App Name,Category,Privacy Policy Link,Secondary Link,Manually Saved?
(Not Boring) Habits,General,https://andyworksco.notion.site/Terms-of-Use-Privacy-Policy-884f700ef9b44d48b2058404ed209e1a,,Yes
Adidas Running,Fitness,https://www.runtastic.com/privacy-notice/runtastic/en?lang=en,,
Affect,Condition Management,https://www.affect.com/privacy/,,
All the Rings,Fitness,https://www.cerebralgardens.com/privacy-policy,,
AllTrails,Fitness,https://privacy.alltrails.com/policies/en-US,,Yes
Amwell,Telemedicine,https://business.amwell.com/company/privacy-policy,,
Apple Health,General,https://www.apple.com/legal/privacy/data/en/health-app/,https://www.apple.com/legal/privacy/en-ww/,
athenaPatient,Telemedicine,https://www.athenahealth.com/resources/privacy-notice-for-patient-facing-applications,,
BetterHelp,Telemedicine,https://www.betterhelp.com/privacy/,,
Bevel,General,https://docs.bevel.health/privacy-policy,,Yes
Beyond Body,General,https://beyondbody.me/privacy-policy,,
Calorie Counter Diet Tracker,Nutrition,https://docs.google.com/document/d/1LAUT2rS0Ico3AvdcKbeT6ckS2HTUbOvwakKj4G6x-mA/edit?pli=1&tab=t.0#heading=h.pv82w2ds5yjs,,Yes
Calorie Deficit Tracker,Nutrition,https://www.oatsyapp.com/privacy,,
Cerebral,Telemedicine,https://cerebral.com/privacy-policy,,
Clover,Reproductive,https://wachanga.com/en/privacy,,
Clue,Reproductive,https://helloclue.com/privacy,,
Crunch Fitness,Fitness,https://www.crunch.com/privacy-policy,,
Curable,Condition Management,https://www.curablehealth.com/privacy,,
Cycles,Reproductive,https://cycles.app/privacy-policy,,Yes
Doctor on Demand,Telemedicine,https://includedhealth.com/legal/npp/,https://includedhealth.com/legal/privacy/,
Don't Die,General,https://app.dontdie.com/privacy,,Yes
Eat This Much,Nutrition,https://www.eatthismuch.com/privacy-policy,,
EveryDose,Condition Management,https://www.everydose.ai/privacy/,,
FEMM,Reproductive,https://femmhealth.org/privacy-policy-2/,,
FitBit,General,https://support.google.com/product-documentation/answer/14815921?hl=en,https://policies.google.com/privacy,
Fitness Stats,Fitness,https://indie.sh/activity-stats/privacy,,
Fitness View,Fitness,https://www.iubenda.com/privacy-policy/73977646,,
Flo,Reproductive,https://flo.health/privacy-policy,,
Foodnoms,Nutrition,https://foodnoms.com/privacy/,,
Fooducate,Nutrition,https://www.fooducate.com/privacy,,Yes
Garmin Connect,General,https://www.garmin.com/en-US/privacy/connect/policy/,,
Gentler Streak,Fitness,https://gentler.app/privacy/,,
Glooko,Condition Management,https://glooko.com/privacy/,,
Glow,Reproductive,https://glowing.com/privacy-policy ,,Yes
GlucoseDesk,Condition Management,https://glucosedesk.chadly.de/legal,,
GoCoCo,Nutrition,https://www.iubenda.com/privacy-policy/67653711,,
Google Fit,General,https://policies.google.com/privacy,,
