"app","from","to","pre","keyword","post","phrase"
"AllTrails",354,355,"the following : * Account Data : When you sign up , some information is","required to","create an account on our Service , such as your name and email address .","required to"
"AllTrails",1912,1913,"Personal Data to deliver our Service to you , or to otherwise perform our contractual","obligations to","you ( “ Contractual Necessity ” ) . * Where we need to process your","obligation to"
"AllTrails",1965,1966,"Legitimate Interests ” ) . * Where we need to process your Personal Data to","comply with","a legal or regulatory obligation ( “ Compliance with Law ” ) . * Where","comply with"
"AllTrails",1974,1975,"to process your Personal Data to comply with a legal or regulatory obligation ( “","Compliance with","Law ” ) . * Where we have your specific consent to carry out the","compliance with"
"AllTrails",2420,2421,"financial loss , data breaches and / or other security threats Legal compliance - to","comply with","our legal obligations , for example our accounting and tax reporting obligations . * Any","comply with"
"AllTrails",2423,2424,"data breaches and / or other security threats Legal compliance - to comply with our","legal obligations",", for example our accounting and tax reporting obligations . * Any and all data","legal obligation"
"AllTrails",2447,2448,"reporting obligations . * Any and all data types as relevant in the circumstances *","Compliance with","Law * Legitimate Interests - where Compliance with Law is not applicable , we have","compliance with"
"AllTrails",2455,2456,"types as relevant in the circumstances * Compliance with Law * Legitimate Interests - where","Compliance with","Law is not applicable , we have a legitimate interest in participating in , supporting","compliance with"
"AllTrails",2474,2475,"not applicable , we have a legitimate interest in participating in , supporting and following","legal process","and requests , including through cooperation with authorities . We may also have a legitimate","legal process"
"AllTrails",2929,2930,"as part of that transaction along with other assets . * Legal Requirements : With","law enforcement",", government authorities , private parties and others , if required to do so by","law enforcement"
"AllTrails",2941,2942,"Requirements : With law enforcement , government authorities , private parties and others , if","required to","do so by law or in the good faith belief that such action is necessary","required to"
"AllTrails",2962,2963,"or in the good faith belief that such action is necessary to ( i )","comply with","legal or regulatory obligations , including to respond to lawful requests from public or government","comply with"
"AllTrails",2992,2993,"or government authorities , or other regulatory agencies , and to meet national security or","law enforcement","requirements , ( ii ) protect and defend our rights or property , ( iii","law enforcement"
"AllTrails",3316,3318,"as reasonably necessary for the purposes described in this Privacy Policy , including as long","as required by","law ( e.g . for tax , legal , accounting or other purposes ) .","as required by"
"AllTrails",3317,3319,"reasonably necessary for the purposes described in this Privacy Policy , including as long as","required by law","( e.g . for tax , legal , accounting or other purposes ) . To","required by law"
"AllTrails",3480,3482,"Personal Data about a child under the age of 16 without parental or guardian consent","as required by","applicable law , please contact us at privacy@alltrails.com and we will take steps to delete","as required by"
"AllTrails",3501,3503,"please contact us at privacy@alltrails.com and we will take steps to delete that Personal Data","as required by","applicable law . US Privacy Rights Disclosures In addition to the other disclosures in this","as required by"
"AllTrails",5862,5863,"list in order to ensure that your choices are respected in the future and to","comply with","data protection laws . ( Such processing is necessary for our and your legitimate interest","comply with"
"AllTrails",6020,6021,"your request is clearly unfounded , repetitive or excessive , or we may refuse to","comply with","your request in these circumstances . To confirm your identity and ensure your right to","comply with"
"Bevel",149,150,"https://docs.bevel.health/terms-of-service ( the “ Terms of Use ” ) incorporated herein by reference and to","comply with","all applicable laws , rules and regulations ( collectively , “ Applicable Law ” )","comply with"
"Bevel",1116,1117,"laws may not be the same as those in your jurisdiction . In certain circumstances","law enforcement","or regulatory agencies , courts or security authorities in the United States may be entitled","law enforcement"
"Bevel",1569,1571,", or in connection with a transaction you engage in through the Services . •","As required by","law . We may share your information with the appropriate authorities if we believe disclosure","as required by"
"Bevel",1570,1572,"or in connection with a transaction you engage in through the Services . • As","required by law",". We may share your information with the appropriate authorities if we believe disclosure is","required by law"
"Bevel",1611,1612,"any applicable law , including lawful requests by public authorities to meet national security or","law enforcement","requirements . • In corporate transactions . In the event of a financing , reorganization","law enforcement"
"Bevel",1658,1659,"to the relevant third parties involved in the transaction . Any such recipients will be","required to","protect your information under a nondisclosure agreement or comparable confidentiality obligation . How We Share","required to"
"Bevel",1926,1927,"and affiliates to further facilitate your use of our websites and Services . • For","legal process","and protection . We may disclose or share your information to satisfy any law ,","legal process"
"Bevel",1945,1946,". We may disclose or share your information to satisfy any law , regulation ,","legal process",", governmental request , or where we have a good faith belief that access ,","legal process"
"Bevel",4124,4125,"present signed written permission to act on your behalf , and you may also be","required to","independently verify your identity with us and confirm that you have provided the agent permission","required to"
"Bevel",4152,4153,"provided the agent permission to submit the request . Please note that we are only","required to","honor requests to know twice in a 12-month period . California Shine the Light This","required to"
"Bevel",4260,4261,". To request this information and for any other questions about our privacy practices and","compliance with","California law , please contact us at hello@bevel.health . "" Do Not Track "" Policy","compliance with"
"Bevel",4277,4279,"California law , please contact us at hello@bevel.health . "" Do Not Track "" Policy","as Required by","California Online Privacy Protection Act ( “ CalOPPA ” ) Our Services do not respond","as required by"
"Bevel",5118,5119,"3 ) we need such information to protect against fraud or illegal activity or to","comply with","applicable law . Please note that if we delete your personal information , we may","comply with"
"Calorie.Counter.Diet.Tracker",646,647,"noted above , we may collect your purchase or transaction history . You are not","required to","provide us with such information , but certain features of the Services may not be","required to"
"Calorie.Counter.Diet.Tracker",1401,1402,"; ? For security , auditing , and similar business operational purposes ; ? To","comply with","legal requirements , relevant industry standards , and our policies ; ? To protect the","comply with"
"Calorie.Counter.Diet.Tracker",1471,1472,"policies ; and ? For any other lawful purpose ( subject to your consent where","legally required",") . We may combine information that we collect from and about you ( including","legally required"
"Calorie.Counter.Diet.Tracker",1617,1619,"the legitimate interests of Blueprint or others ; ( 3 ) where the processing is","necessary to comply","with applicable legal obligations ; or ( 4 ) where you have consented to our","necessary to comply"
"Calorie.Counter.Diet.Tracker",1619,1620,"interests of Blueprint or others ; ( 3 ) where the processing is necessary to","comply with","applicable legal obligations ; or ( 4 ) where you have consented to our processing","comply with"
"Calorie.Counter.Diet.Tracker",1622,1623,"or others ; ( 3 ) where the processing is necessary to comply with applicable","legal obligations","; or ( 4 ) where you have consented to our processing of your information","legal obligation"
"Calorie.Counter.Diet.Tracker",1758,1759,"your information if we believe in good faith that this is required or appropriate to","comply with","applicable law , regulations , or legal process ; to establish or exercise our legal","comply with"
"Calorie.Counter.Diet.Tracker",1766,1767,"that this is required or appropriate to comply with applicable law , regulations , or","legal process","; to establish or exercise our legal rights ; to defend against legal claims ;","legal process"
"Calorie.Counter.Diet.Tracker",2087,2089,"Other Disclosures . * * We may also disclose your information as otherwise permitted or","required by law",". The Services may include "" social "" features , such as forums and newsfeeds","required by law"
"Calorie.Counter.Diet.Tracker",2129,2130,"upload , provide , or otherwise disclose information to other users . You are not","required to","use these features to use the Services . If you choose to disclose information via","required to"
"Calorie.Counter.Diet.Tracker",2398,2399,"law . For example , if you ask us to delete information that we are","legally required","to retain , we may deny your request . We may take reasonable steps to","legally required"
"Calorie.Counter.Diet.Tracker",2399,2400,". For example , if you ask us to delete information that we are legally","required to","retain , we may deny your request . We may take reasonable steps to verify","required to"
"Calorie.Counter.Diet.Tracker",2601,2603,". We process requests to be placed on do-not-mail , do-not-phone , and do-not-contact lists","as required by","applicable law . Note that if you opt out of marketing communications , you may","as required by"
"Calorie.Counter.Diet.Tracker",3507,3509,"is necessary to fulfill the purpose for which it was collected and retained , and","as required by","applicable law . Retention periods may vary depending on the type of information and the","as required by"
"Calorie.Counter.Diet.Tracker",4531,4532,"by preventing fraud ; and ( 6 ) for legal purposes , such as to","comply with","applicable laws or to establish , exercise , or defend our legal rights . How","comply with"
"Calorie.Counter.Diet.Tracker",4723,4724,"Policy , or other contracts with you , and for fraud prevention ; ? To","comply with","our legal obligations ; and ? In connection with any negotiation or completed acquisition ,","comply with"
"Calorie.Counter.Diet.Tracker",4726,4727,"other contracts with you , and for fraud prevention ; ? To comply with our","legal obligations","; and ? In connection with any negotiation or completed acquisition , merger , or","legal obligation"
"Calorie.Counter.Diet.Tracker",4870,4871,"; ? For legal purposes ( e.g . , to governmental entities in response to","legal process",") ; ? As necessary for business transfers ; ? At your direction or with","legal process"
"Cycles",316,318,", you may consent to sharing your menstrual cycle with a Partner . ? Where","necessary to comply","with legal obligation , a court order , or to exercise and defend legal claims","necessary to comply"
"Cycles",318,319,"may consent to sharing your menstrual cycle with a Partner . ? Where necessary to","comply with","legal obligation , a court order , or to exercise and defend legal claims .","comply with"
"Cycles",320,321,"to sharing your menstrual cycle with a Partner . ? Where necessary to comply with","legal obligation",", a court order , or to exercise and defend legal claims . ? Where","legal obligation"
"Cycles",324,325,"cycle with a Partner . ? Where necessary to comply with legal obligation , a","court order",", or to exercise and defend legal claims . ? Where necessary in the public","court order"
"Cycles",1376,1377,"access to the information necessary to perform these limited functions on our behalf and are","required to","protect and secure your information . We may also engage service providers to collect information","required to"
"Cycles",1501,1501,"a transfer of personal data . We may disclose your information in response to European","subpoenas",", court orders , or other legal requirements ; to exercise our legal rights or","subpoena"
"Cycles",1503,1504,"of personal data . We may disclose your information in response to European subpoenas ,","court orders",", or other legal requirements ; to exercise our legal rights or defend against legal","court order"
"Cycles",1560,1560,"to protect our rights and property . We may disclose your information in response to","subpoenas",", court orders , or other legal requirements ; to exercise our legal rights or","subpoena"
"Cycles",1562,1563,"our rights and property . We may disclose your information in response to subpoenas ,","court orders",", or other legal requirements ; to exercise our legal rights or defend against legal","court order"
"Cycles",2443,2444,"not transmit any of your personal data to third parties , except if it is","required to","provide the Cycles service to you ( e.g . technical service providers ) , unless","required to"
"Cycles",2630,2631,"information from our systems . Additionally , we may retain information from deleted accounts to","comply with","the law , prevent fraud , collect fees , resolve disputes , troubleshoot problems ,","comply with"
"Dont.Die",646,647,"noted above , we may collect your purchase or transaction history . You are not","required to","provide us with such information , but certain features of the Services may not be","required to"
"Dont.Die",1401,1402,"; ? For security , auditing , and similar business operational purposes ; ? To","comply with","legal requirements , relevant industry standards , and our policies ; ? To protect the","comply with"
"Dont.Die",1471,1472,"policies ; and ? For any other lawful purpose ( subject to your consent where","legally required",") . We may combine information that we collect from and about you ( including","legally required"
"Dont.Die",1617,1619,"the legitimate interests of Blueprint or others ; ( 3 ) where the processing is","necessary to comply","with applicable legal obligations ; or ( 4 ) where you have consented to our","necessary to comply"
"Dont.Die",1619,1620,"interests of Blueprint or others ; ( 3 ) where the processing is necessary to","comply with","applicable legal obligations ; or ( 4 ) where you have consented to our processing","comply with"
"Dont.Die",1622,1623,"or others ; ( 3 ) where the processing is necessary to comply with applicable","legal obligations","; or ( 4 ) where you have consented to our processing of your information","legal obligation"
