"app","from","to","pre","keyword","post","vague_noun"
"AllTrails",1706,1707,"service . We may also obtain your Personal Data from","service providers","or vendors as well as other business partners ( such","service providers"
"AllTrails",1709,1709,"may also obtain your Personal Data from service providers or","vendors","as well as other business partners ( such as marketing","vendors"
"AllTrails",1714,1715,"Data from service providers or vendors as well as other","business partners","( such as marketing partners and event co-sponsors ) .","business partners"
"AllTrails",2702,2702,"under applicable law , as set forth below : *","Affiliates",": Other companies in our corporate group may help us","affiliates"
"AllTrails",2720,2720,"may help us deliver our Service to you . *","Vendors","and Service Providers : To assist us in meeting business","vendors"
"AllTrails",2722,2723,"us deliver our Service to you . * Vendors and","Service Providers",": To assist us in meeting business operations needs and","service providers"
"AllTrails",2747,2748,"services and functions , we may share Personal Data with","service providers",", including hosting , cloud services and other information technology","service providers"
"AllTrails",2759,2760,", including hosting , cloud services and other information technology","services providers","; email communication software providers and email newsletter providers ;","service providers"
"AllTrails",3856,3856,"parties for ‘ business purposes ’ , such as with","affiliates","and marketing partners , analytics providers , and social networks","affiliates"
"AllTrails",4368,4368,"and Do Not Track Signals : We and our third-party","vendors","and service providers , may use cookies , pixels or","vendors"
"AllTrails",4370,4371,"Not Track Signals : We and our third-party vendors and","service providers",", may use cookies , pixels or other tracking technologies","service providers"
"AllTrails",6224,6224,"is based in the United States . Some of our","vendors","and service providers may also be located in the United","vendors"
"AllTrails",6226,6227,"in the United States . Some of our vendors and","service providers","may also be located in the United States or another","service providers"
"Bevel",1341,1342,". To Whom We Share Your Personal Information • With","service providers",". We share information with vendors and contractors who help","service providers"
"Bevel",1348,1348,"Information • With service providers . We share information with","vendors","and contractors who help us provide , maintain , and","vendors"
"Bevel",1860,1861,"may include , but may not be limited to internet","service providers","and other related professionals , advertising networks , data analytics","service providers"
"Bevel",1887,1888,"operating systems and platforms , social media networks , and","service providers","who provide us a service . • To subsidiaries and","service providers"
"Bevel",1899,1899,"who provide us a service . • To subsidiaries and","affiliates",". We may disclose or share your information with our","affiliates"
"Bevel",1912,1912,"may disclose or share your information with our subsidiaries and","affiliates","to further facilitate your use of our websites and Services","affiliates"
"Bevel",2410,2411,", and only share your personal data with certain trusted","service providers","and partners so that we can provide and improve our","service providers"
"Calorie.Counter.Diet.Tracker",830,830,"Sources We may collect information about you from our corporate","affiliates","and subsidiaries . We may also collect information about your","affiliates"
"Calorie.Counter.Diet.Tracker",1659,1659,"may disclose your information as follows : ? * *","Affiliates",". * * We may disclose your information to our","affiliates"
"Calorie.Counter.Diet.Tracker",1671,1671,"* * We may disclose your information to our corporate","affiliates",", such as our subsidiaries . ? * * Vendors","affiliates"
"Calorie.Counter.Diet.Tracker",1681,1681,"affiliates , such as our subsidiaries . ? * *","Vendors",". * * We may disclose your information to companies","vendors"
"Calorie.Counter.Diet.Tracker",2940,2940,"features may be unavailable . Online Analytics We and our","vendors","may use third-party analytics services on the Services to help","vendors"
"Calorie.Counter.Diet.Tracker",4394,4394,"; and ( 3 ) other sources such as our","affiliates",". Purposes for Collection of CHD We describe the purposes","affiliates"
"Calorie.Counter.Diet.Tracker",4635,4635,", marketing , and advertising ; ? To enable our","vendors","to provide us with services that allow us to operate","vendors"
"Calorie.Counter.Diet.Tracker",4825,4825,"share CHD with the following categories of third parties and","affiliates",": ? Vendors and service providers ; ? Advertising networks","affiliates"
"Calorie.Counter.Diet.Tracker",4828,4828,"the following categories of third parties and affiliates : ?","Vendors","and service providers ; ? Advertising networks ; ? For","vendors"
"Calorie.Counter.Diet.Tracker",4830,4831,"categories of third parties and affiliates : ? Vendors and","service providers","; ? Advertising networks ; ? For the protection of","service providers"
"Calorie.Counter.Diet.Tracker",4896,4896,"with your consent ; and ? Our affiliate [ NAME","AFFILIATES","] . How To Exercise Your Rights Under CHD Laws","affiliates"
"Cycles",1330,1331,"and Perigee will never share more information than necessary .","Service Providers","We may share your information with third parties who provide","service providers"
"Cycles",1356,1357,"as supporting and improving Cycles or promoting Cycles . These","service providers","will only have access to the information necessary to perform","service providers"
"Cycles",1388,1389,"protect and secure your information . We may also engage","service providers","to collect information about your use of Cycles over time","service providers"
"Cycles",2455,2456,"provide the Cycles service to you ( e.g . technical","service providers",") , unless Cycles has asked for your explicit consent","service providers"
"Dont.Die",830,830,"Sources We may collect information about you from our corporate","affiliates","and subsidiaries . We may also collect information about your","affiliates"
"Dont.Die",1659,1659,"may disclose your information as follows : ? * *","Affiliates",". * * We may disclose your information to our","affiliates"
"Dont.Die",1671,1671,"* * We may disclose your information to our corporate","affiliates",", such as our subsidiaries . ? * * Vendors","affiliates"
"Dont.Die",1681,1681,"affiliates , such as our subsidiaries . ? * *","Vendors",". * * We may disclose your information to companies","vendors"
"Dont.Die",2940,2940,"features may be unavailable . Online Analytics We and our","vendors","may use third-party analytics services on the Services to help","vendors"
"Dont.Die",4394,4394,"; and ( 3 ) other sources such as our","affiliates",". Purposes for Collection of CHD We describe the purposes","affiliates"
"Dont.Die",4635,4635,", marketing , and advertising ; ? To enable our","vendors","to provide us with services that allow us to operate","vendors"
"Dont.Die",4825,4825,"share CHD with the following categories of third parties and","affiliates",": ? Vendors and service providers ; ? Advertising networks","affiliates"
"Dont.Die",4828,4828,"the following categories of third parties and affiliates : ?","Vendors","and service providers ; ? Advertising networks ; ? For","vendors"
"Dont.Die",4830,4831,"categories of third parties and affiliates : ? Vendors and","service providers","; ? Advertising networks ; ? For the protection of","service providers"
"Dont.Die",4896,4896,"with your consent ; and ? Our affiliate [ NAME","AFFILIATES","] . How To Exercise Your Rights Under CHD Laws","affiliates"
"Fooducate",111,111,"any other online services by Maple Media or its legal","affiliates",". This Privacy Policy applies to information that you provide","affiliates"
"Fooducate",721,722,"to the extent available , we or our third party","service providers","may collect Personal Information from you to facilitate your payment","service providers"
"Fooducate",4102,4103,"partners may be added or removed at any time .","Service Providers",": We may employ third party companies and individuals to","service providers"
"Fooducate",4208,4209,"for any other purpose . We have carefully selected these","service providers","and entered into data processing agreements , if required by","service providers"
"Fooducate",4224,4225,"processing agreements , if required by applicable law . The","service providers","will use your Personal Information outside the EU / EEA","service providers"
"Fooducate",4245,4246,"EEA ( e.g . in the U.S . ) .","Service providers","with whom we share your Personal Information may include :","service providers"
"Fooducate",4304,4305,", Stripe , Inc . ? Analytics and Consent Management","Service Providers",", including , but not limited to , Sisense Ltd","service providers"
"Fooducate",4354,4355,"App or Game Software , Hosting , Database & API","Service Providers",", including , but not limited to , Google LLC","service providers"
"Garmin.Connect",3229,3230,"with Garmin Response ℠ in order for Garmin and its","service providers","to perform the Assistance Plus service . The legal ground","service providers"
"Garmin.Connect",3611,3612,"your payment card information , which is handled by third-party","service providers",". When you purchase a subscription through your app store","service providers"
"Garmin.Connect",4484,4485,"and emergency responders . THIRD-PARTY APP , PLATFORM , OR","SERVICE PROVIDERS","WITH WHOM YOU ASK GARMIN TO SHARE YOUR DATA :","service providers"
"Garmin.Connect",4583,4584,"library , unity3d , provided by Unity Technologies . OTHER","SERVICE PROVIDERS",": We use cloud services from third parties such as","service providers"
"Garmin.Connect",4716,4716,"recipient and the selected content . We use other SMS","vendors","in some regions , such as Alibaba Cloud ( Chinese","vendors"
"Garmin.Connect",4973,4974,"included in the user's uploaded content . We use third-party","service providers","to help us better understand the usage and performance of","service providers"
"Garmin.Connect",5479,5479,"applicable data protection law . Garmin's U.S . - based","affiliates","are certified under the EU-U.S . and Swiss-U.S . Data","affiliates"
"Garmin.Connect",5910,5910,"Similar Technologies "" section for information on Monitoring and Analytics","vendors","that rely on cookies . Children We request individuals under","vendors"
"Glooko",2081,2082,"5 . We may disclose your Inquiry Data to our","service providers","for the purpose of enabling them to deliver services to","service providers"
"Glooko",2565,2566,"Framework certification outlined here : www.glooko.com/DataPrivacyFramework. 3 . We use","service providers","in order to deliver different elements of the Services .","service providers"
"Glooko",2580,2581,"deliver different elements of the Services . Some of these","service providers","are located outside of the EEA . Any international transfers","service providers"
"Glow",1262,1263,"media account . Automatic data collection . We , our","service providers",", marketing affiliates , and our business partners may automatically","service providers"
"Glow",1266,1266,"data collection . We , our service providers , marketing","affiliates",", and our business partners may automatically log information about","affiliates"
"Glow",1270,1271,", our service providers , marketing affiliates , and our","business partners","may automatically log information about you , your computer or","business partners"
"Glow",1779,1780,"our business . Marketing and advertising . We , our","service providers","and our third party advertising partners may collect and use","service providers"
"Glow",2498,2498,"policy , Google’s privacy policy and MyFitnessApp’s privacy policy .","Affiliates",". Glow , Inc . , and our affiliates ,","affiliates"
"Glow",2507,2507,". Affiliates . Glow , Inc . , and our","affiliates",", for purposes consistent with this Privacy Policy . Service","affiliates"
"Glow",2517,2518,"affiliates , for purposes consistent with this Privacy Policy .","Service providers",". Companies and individuals that provide services on our behalf","service providers"
"Glow",2938,2938,"of , or equity interests in , Glow or our","affiliates","( including , in connection with a bankruptcy or similar","affiliates"
"Glow",3863,3864,"We are headquartered in the United States and may use","service providers","that operate in other countries . Your personal information may","service providers"
"Glow",5500,5500,"development – Marketing & advertising – Compliance & protection –","Affiliates","– Payment processors – Advertising partners – Business and marketing","affiliates"
"Glow",5585,5585,"development – Marketing & advertising – Compliance & protection –","Affiliates","– Payment processors – Other users and the public (","affiliates"
"Glow",5634,5634,"delivery – Marketing & advertising – Compliance & protection –","Affiliates","– Payment processors – Advertising partners – Business and marketing","affiliates"
"Glow",5708,5708,"development – Marketing & advertising – Compliance & protection –","Affiliates","– Payment processors – Advertising partners – Third party app","affiliates"
"Glow",5756,5756,"development – Marketing & advertising – Compliance & protection –","Affiliates","– Advertising partners – Business and marketing partners – Other","affiliates"
"Glow",5835,5835,"delivery – Research & development – Marketing & advertising –","Affiliates","– Advertising partners – Advertising partners ( to facilitate online","affiliates"
"Glow",5901,5901,"( images , video or audio ) You Service delivery","Affiliates","None * We may also share the categories of personal","affiliates"
"Healow",1085,1086,"including Usage Data for internal uses or uses by our","service providers","on our behalf , such as ensuring the security and","service providers"
"Healow",2224,2225,"may be interested in any of the Services or our","business partners","' products and services . If we think something may","business partners"
"Healow",2468,2469,"6 . Data Collection Technologies 6.1 . We and our","service providers","may use cookies , Web beacons , log files ,","service providers"
"Healow",3256,3256,"Internal Sharing : healow may disclose Personal Information to its","affiliates","( including parents , entities under common ownership , and","affiliates"
"Healow",3287,3288,"other related companies without authorization . 7.1.3 . With Our","Service Providers",": healow may disclose Personal Information to service providers for","service providers"
"Healow",3296,3297,"Our Service Providers : healow may disclose Personal Information to","service providers","for the purposes of operating our business , delivering ,","service providers"
"Healow",3487,3487,"interests , or property as well as those of healow","affiliates",", customers , or Service users . 7.1.6 . Business","affiliates"
"Healow",4305,4306,"information related to your Personal Information to some of healow's","business partners",". This information is used in a collective manner and","business partners"
"Healow",5834,5834,"information we collect ? Employees and prospective employees ? Other","vendors","/ suppliers Business or Commercial Purpose for Collecting CCPA /","vendors"
"Healow",5981,5981,"events , and other offerings ? Conduct diligence regarding our","vendors","and partners and administer vendor / partner relationships ? Process","vendors"
"Healow",6496,6496,"/ CPRA Personal Information to third parties such as our","affiliates","; our service providers ; other medical providers , third","affiliates"
"Healow",6499,6500,"Information to third parties such as our affiliates ; our","service providers","; other medical providers , third party payors , or","service providers"
"Healow",6626,6627,"to Whom CCPA / CPRA Personal Information is Disclosed Identifiers","Service Providers","; Affiliates ; Third parties for providing the services for","service providers"
"Healow",6629,6629,"/ CPRA Personal Information is Disclosed Identifiers Service Providers ;","Affiliates","; Third parties for providing the services for which you","affiliates"
"Healow",6678,6679,"described in Civ . Code � 1798.80 ( e )","Service Providers","; Affiliates ; Third parties for providing the services for","service providers"
"Healow",6681,6681,". Code � 1798.80 ( e ) Service Providers ;","Affiliates","; Third parties for providing the services for which you","affiliates"
"Healow",6726,6727,"clearinghouses Characteristics of protected classifications under California or federal law","Service Providers","; Affiliates ; Third parties to whom you or your","service providers"
"Healow",6729,6729,"protected classifications under California or federal law Service Providers ;","Affiliates","; Third parties to whom you or your agents authorize","affiliates"
"Healow",6745,6746,"you or your agents authorize us to disclose Biometric information","Service Providers","Internet or other electronic network activity information Service Providers ;","service providers"
"Healow",6754,6755,"information Service Providers Internet or other electronic network activity information","Service Providers","; Affiliates ; Third parties to whom you or your","service providers"
"Healow",6757,6757,"Internet or other electronic network activity information Service Providers ;","Affiliates","; Third parties to whom you or your agents authorize","affiliates"
"Healow",6773,6774,"you or your agents authorize us to disclose Geolocation data","Service Providers","; Affiliates ; Third parties to whom you or your","service providers"
"Healow",6776,6776,"agents authorize us to disclose Geolocation data Service Providers ;","Affiliates","; Third parties to whom you or your agents authorize","affiliates"
"Healow",6803,6804,", visual , thermal , olfactory , or similar information","Service Providers","; Affiliates Professional or employment-related information Service Providers ; Affiliates","service providers"
"Healow",6806,6806,"thermal , olfactory , or similar information Service Providers ;","Affiliates","Professional or employment-related information Service Providers ; Affiliates ; Third","affiliates"
"Healow",6811,6812,"similar information Service Providers ; Affiliates Professional or employment-related information","Service Providers","; Affiliates ; Third parties to whom you or your","service providers"
"Healow",6814,6814,"Providers ; Affiliates Professional or employment-related information Service Providers ;","Affiliates","; Third parties to whom you or your agents authorize","affiliates"
"Healow",6830,6831,"you or your agents authorize us to disclose Education information","Service Providers","; Affiliates ; Third parties to whom you or your","service providers"
"Healow",6833,6833,"agents authorize us to disclose Education information Service Providers ;","Affiliates","; Third parties to whom you or your agents authorize","affiliates"
"Healow",6850,6851,"or your agents authorize us to disclose Sensitive personal information","Service Providers","; Affiliates ; Third parties to whom you or your","service providers"
"Healow",6853,6853,"authorize us to disclose Sensitive personal information Service Providers ;","Affiliates","; Third parties to whom you or your agents authorize","affiliates"
"Healow",6948,6948,"or resolve billing issues ? To conduct diligence regarding our","vendors","and partners and administer vendor / partner relationships 18.4 CCPA","vendors"
"Healow",7138,7138,"and other offerings Administer user accounts Conduct diligence regarding our","vendors","and partners and administer vendor / partner relationships Conduct research","vendors"
"Healow",7255,7255,"and other offerings Administer user accounts Conduct diligence regarding our","vendors","and partners and administer vendor / partner relationships Provide ,","vendors"
